InputReal,InputImag,OutputReal,OutputImag
-24.0,-24.0,9.031768198927822e+18,-1.742140559580938e+20
-23.5,-23.5,-2.189916908031676e+19,7.218093119674653e+18
-23.0,-23.0,3121842988634907.5,2.620426252428318e+18
-22.5,-22.5,2.880355717981933e+17,-5.205342712777861e+17
-22.0,-22.0,1.4246399631199382e+16,-3.751966108602827e+16
-21.5,-21.5,5316880777312506.0,3.1476571396866644e+16
-21.0,-21.0,5009395093144280.0,2616505827071202.0
-20.5,-20.5,537511058203913.7,-460426994811814.4
-20.0,0.0,948724207594.304,-0.0
-19.5,-19.5,-21882701417285.406,4266601824585.608
-19.0,1.0,-8758820718.407,-91631806460.011
-18.5,-18.5,-660590733796.992,-636152295823.369
-18.0,-18.0,-141037429328.466,-93534309402.288
-17.5,-17.5,-12045086809.27,11562139509.723
-17.0,-17.0,4492268049.546,-3240698832.479
-16.5,-16.5,-1492363906.561,-1264333164.52
-16.0,-16.0,-139632440.217,64865525.274
-15.5,-15.5,-3738659.87,21823541.903
-15.0,-15.0,-5737137.601,-2153677.809
-14.5,-14.5,-2085315.581,389084.3
-14.0,-14.0,-705905.723,669797.804
-13.5,-13.5,-187825.554,268307.651
-13.0,-13.0,-65252.003,97893.697
-12.5,-12.5,-20679.213,43427.311
-12.0,8.0,-131.654,414.08
-11.5,-11.5,-1652.409,7527.92
-11.0,-11.0,-467.595,3160.046
-10.5,-10.5,-133.788,1348.107
-10.0,-10.0,-42.428,586.883
-9.5,-9.5,-18.645,260.705
-9.0,-9.0,-11.604,118.577
-8.5,-8.5,-8.427,55.111
-8.0,-8.0,-6.256,26.076
-7.5,-7.5,-4.563,12.469
-7.0,-7.0,-3.248,5.95
-6.5,-6.5,-2.26,2.77
-6.0,-6.0,-1.538,1.202
-5.5,-5.5,-1.018,0.43
-5.0,-5.0,-0.649,0.06
-4.5,-4.5,-0.387,-0.104
-4.0,-4.0,-0.204,-0.16
-3.5,-3.5,-0.076,-0.16
-3.0,-3.0,0.01,-0.129
-2.5,-2.5,0.063,-0.08
-2.0,-2.0,0.086,-0.021
-1.5,-1.5,0.076,0.046
-1.0,-1.0,0.017,0.114
-0.5,-0.5,-0.141,0.158
0.0,0.0,-0.5,-0.0
0.5,0.5,-0.459,-0.961
1.0,0.0,inf,0.0
1.5,1.5,0.825,-0.498
2.0,2.0,0.867,-0.275
2.5,2.5,0.886,-0.153
3.0,3.0,0.904,-0.081
3.5,3.5,0.924,-0.036
4.0,4.0,0.942,-0.01
4.5,4.5,0.959,0.005
5.0,5.0,0.974,0.012
5.5,5.5,0.985,0.014
6.0,6.0,0.993,0.013
6.5,6.5,0.998,0.01
7.0,7.0,1.001,0.007
7.5,7.5,1.002,0.005
8.0,8.0,1.003,0.003
8.5,8.5,1.002,0.001
9.0,9.0,1.002,0.0
9.5,9.5,1.001,-0.0
10.0,10.0,1.001,-0.001
10.5,10.5,1.0,-0.001
11.0,11.0,1.0,-0.0
11.5,11.5,1.0,-0.0
12.0,12.0,1.0,-0.0
12.5,12.5,1.0,-0.0
13.0,13.0,1.0,-0.0
13.5,13.5,1.0,-0.0
14.0,14.0,1.0,0.0
14.5,14.5,1.0,0.0
15.0,15.0,1.0,0.0
15.5,15.5,1.0,0.0
16.0,16.0,1.0,0.0
16.5,16.5,1.0,0.0
17.0,17.0,1.0,0.0
17.5,17.5,1.0,0.0
18.0,18.0,1.0,0.0
18.5,18.5,1.0,-0.0
19.0,19.0,1.0,-0.0
19.5,19.5,1.0,-0.0
20.0,20.0,1.0,-0.0
20.5,20.5,1.0,-0.0
21.0,21.0,1.0,-0.0
21.5,21.5,1.0,-0.0
22.0,22.0,1.0,-0.0
22.5,22.5,1.0,-0.0
23.0,23.0,1.0,0.0
23.5,23.5,1.0,0.0
24.0,24.0,1.0,0.0
24.5,24.5,1.0,0.0
25.0,25.0,1.0,0.0
25.5,25.5,1.0,0.0
